Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Щириця,Семен,Ігнатович,Чоловіча,1966-07-04,Музичний редактор,хутір Середина-Буда,"вулиця Куяльницький міст, буд. 0 кв. 694, Довжанськ, 51116",097 628-71-99,leonvashchenko-zakharchenko@example.org
Фартушняк,Ольга,Несторівна,Жіноча,1963-12-31,Патологоанатом,село Селидове,"парк Штильова, буд. 8, Горішні Плавні, 47699",214 50 42,slutsenko@example.org
Жадан,Валерій,Русланович,Чоловіча,2000-10-01,Громадський діяч,хутір Покров,"шосе Лютеранський, буд. 116, Городенка, 61280",428-86-53,dbaturynets@example.com
Тихий,Ярина,Францівна,Жіноча,1997-12-15,Слідчий,місто Обухів,"сквер Колективний, буд. 29, Решетилівка, 51201",+380 14 205-31-90,nteslenko@example.org
Уманець,Святослав,Ігорович,Чоловіча,1987-11-29,Підприємець,селище Долинська,"сквер Лінія 39-та, буд. 416 кв. 579, Білицьке, 29570",+380 99 196 28 80,bohdan16@example.net
Семенченко,Ігор,Веніяминович,Чоловіча,1984-09-01,Головний меркшейдер,село Узин,"парк Качалова, буд. 1, Новоселиця, 50548",606-66-75,borys28@example.org
Мамчур,Азар,Стефанович,Чоловіча,1983-06-21,Драматург,селище Ніжин,"узвіз Байкал тупик, буд. 905 кв. 149, Лозова , 39552",114 02 35,somkoerika@example.com
Яковенко,Варвара,Вікторівна,Жіноча,1957-12-21,Дерун,село Молочанськ,"проспект Яружний, буд. 8, Мала Виска, 85721",091 125-47-49,frankokyrylo@example.org
Карпа,Варфоломій,Кирилович,Чоловіча,1968-03-02,Дипломат,місто Богуслав,"набережна Осипова, буд. 5 кв. 482, Ромни, 80711",+380 99 496-61-71,jnalyvaiko@example.com
Іващенко,Опанас,Євгенійович,Чоловіча,1987-04-21,Няня,місто Ічня,"шосе 9-та Суворовська, буд. 5 кв. 6, Кролевець, 68905",+380 96 594-39-73,gerusomelian@example.org
Бевзенко,Анжела,Орестівна,Жіноча,1962-06-25,Професор,селище Немирів,"вулиця Разумовська, буд. 66 кв. 7, Бібрка, 91861",599 29 79,romanchukdanna@example.net
Вахній,Маруся,Богуславівна,Жіноча,1942-11-14,Психолог,селище Новомиргород,"узвіз Нафтовиків, буд. 00 кв. 2, Бердичів, 69434",+380 18 490-95-10,hrechkoprokhir@example.org
Петлюра,Олена,Віталіївна,Жіноча,1996-06-21,Дантист,хутір Курахове,"сквер Ванцетті, буд. 144, Шумськ, 97613",+380 55 708-82-85,iiaremko@example.org
Шило,Франц,Семенович,Чоловіча,1955-08-02,Географ,селище Верхівцеве,"парк 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Городня, 54493",704-59-34,voblyidan@example.net
Ґоляш,Пріска,Демидівна,Жіноча,1947-10-26,Бібліотекар,хутір Червоносів,"площа Калнишевського Петра, буд. 06, Рені, 53404",572-12-73,hlib64@example.net
Медведенко,Панас,Володимирович,Чоловіча,1986-03-25,Дерун,місто Золотоноша,"парк Весела, буд. 01, Тетіїв, 75230",+380 44 292-56-35,oskoryk@example.net
Семенченко,Святослав,Іванович,Чоловіча,1982-01-10,Ветеринар,село Березівка,"вулиця Картамишевська, буд. 4 кв. 5, Сіверськ, 78779",608 65 39,vdemianiuk@example.net
Москаль,Клавдія,Аврелійовна,Жіноча,1943-08-05,Гірничий інженер,хутір Вознесенськ,"набережна Східний 2-й, буд. 1 кв. 51, Святогірськ, 18534",+380 70 076-59-18,viacheslavzabashta@example.com
Малик,Богодар,Костянтинович,Чоловіча,1947-05-21,Державний службовець,хутір Лиман ,"вулиця Калинова, буд. 66 кв. 17, Ворожба, 05413",095 429-16-38,varfolomii77@example.net
Карась,Володимир,Демидович,Чоловіча,1993-03-29,Актор,село Тараща,"сквер Танкерна, буд. 78, Жидачів, 95060",894 12 25,myroslav24@example.net
Атаманюк,Ярослава,Леонідівна,Жіноча,1970-05-21,Кур'єр,селище Берестечко,"проспект Дачний 1-й, буд. 5 кв. 4, Горлівка, 13477",+380 59 890 85 89,olesavramchuk@example.net
Забіла,Кирило,Макарович,Чоловіча,1994-02-07,Музичний редактор,місто Білгород-Дністровський,"узвіз Басейний 1-й, буд. 9 кв. 2, Самбір, 07246",777 41 34,tsiupataras@example.net
Рак,Орест,Пилипович,Чоловіча,1978-06-16,Ґрунтознавець,місто Верхівцеве,"сквер Марата 2-й, буд. 30, Рахів, 61516",+380 27 387-67-25,varfolomiihavryliv@example.net
Бараник,Аарон,Миколайович,Чоловіча,1952-05-10,Геофізик,село Сторожинець,"сквер Сергія Ядова, буд. 33 кв. 5, Березне, 23145",+380 08 673 48 49,iustynababko@example.net
Охріменко,Анжела,Аврелійовна,Жіноча,1960-03-22,Палеонтолог,місто Сімферополь,"шосе Східний, буд. 2 кв. 22, Вознесенівка, 34703",034 435-81-97,leopold15@example.org
Франчук,Борислав,Валерійович,Чоловіча,1989-07-06,Кінолог,місто Гола Пристань,"парк Естонський, буд. 7, Дніпрорудне, 87257",501-68-41,fhunko@example.org
Лупій,Ярослава,Сергіївна,Жіноча,1939-04-30,Редактор,село Ковель,"площа Уютна, буд. 20 кв. 99, Тернівка , 30071",+380 16 359-89-41,andriiovychmaksym@example.net
Овчаренко,Златослава,Антонівна,Жіноча,1982-04-30,Економіст,хутір Бобринець,"парк Джутовий, буд. 096, Олешки, 82902",081 253 62 15,hodunokmartyn@example.com
Шевченко,Альбіна,Тарасівна,Жіноча,2007-05-22,Стоматолог,селище Семенівка,"шосе Толбухіна, буд. 9, Золотоноша, 90015",011 166-19-18,taras10@example.net
Ґжицький,Віктор,Валерійович,Чоловіча,1942-03-07,Агроном,село Сватове,"вулиця Маразліївська, буд. 6, Теплодар, 45685",064 242 48 61,habelkofeofan@example.com
Бабиченко,Святослава,Едуардівна,Жіноча,1995-10-21,Редактор,хутір Буринь,"площа Олександра Невського 5-й, буд. 77, Жашків, 26576",+380 (22) 133-71-22,bohuslav40@example.net
Захарченко,Емілія,Єлисеївна,Жіноча,1952-07-05,Льотчик,село Бобровиця,"сквер Слобідський узвіз, буд. 99, Корець, 02798",752-14-61,danna19@example.org
Палій,Лариса,Станіславівна,Жіноча,1955-09-24,Каскадер,селище Курахове,"шосе Грецька, буд. 29, Хирів, 26656",091-12-21,kolisnychenkodavyd@example.net
Палій,Охрім,Артемович,Чоловіча,1998-08-12,Прокурор,село Люботин,"парк Степана Олійника узвіз, буд. 95, Прип'ять , 91977",057 967-57-06,taras08@example.org
Черінько,Миколай,Мартинович,Чоловіча,1948-11-11,Літературознавець,селище Керч,"узвіз Штильова, буд. 87 кв. 61, Южне, 26498",194 26 90,venedyktusyk@example.org
Андріїшин,Богуслава,Данилівна,Жіноча,1963-07-27,Електромонтажник,місто Миколаїв,"парк Військовий узвіз, буд. 6, Костопіль, 51185",031 225 42 62,demian19@example.com
Асаула,Лілія,Ігорівна,Жіноча,1999-05-09,Менеджер,хутір Торецьк,"узвіз Квітнева, буд. 8, Шахтарськ, 10843",+380 43 472-39-99,iustymbatiuk@example.com
Ящук,Соломон,Давидович,Чоловіча,1968-10-08,Головний меркшейдер,село Стрий,"набережна Грузинська, буд. 25 кв. 272, Золочів, 47617",+380 28 142-17-59,emiliia02@example.com
Абраменко,Леонід,Гордійович,Чоловіча,1990-07-24,Художник,хутір Житомир,"проспект Державіна, буд. 9, Сокаль, 79321",031 423-75-41,allahohol-ianovskyi@example.org
Затула,Вʼячеслав,Олесьович,Чоловіча,1993-06-03,Електрик,місто Тячів,"набережна Академіка Вавилова, буд. 6, Житомир, 18639",057 998 42 55,glytvynenko@example.org
Колісниченко,Святослав,Володимирович,Чоловіча,1939-06-30,Модельєр,село Буринь,"провулок Локомотивний 4-й, буд. 627, Охтирка, 45516",044 851 45 63,davyd14@example.com
Жайворон,Марʼяна,Сергіївна,Жіноча,1962-11-18,Паблік рилейшнз,селище Болехів,"шосе Індійська, буд. 73 кв. 8, Рівне, 48134",251-15-01,ichervonenko@example.com
Кальченко,Макар,Альбертович,Чоловіча,1957-11-11,Фермер,хутір Тернівка ,"шосе Виїзна, буд. 26, Соледар, 19106",+380 99 033 63 77,miakovenko@example.org
Ірванець,Павло,Олексович,Чоловіча,1954-12-03,Лікар,село Волочиськ,"вулиця Старорізнична, буд. 303, Павлоград, 12315",802-26-89,snizhanavlokh@example.net
Балабан,Зорян,Макарович,Чоловіча,1985-09-16,Кушнір,місто Стебник,"провулок Соляний 6-й, буд. 6, Вільногірськ, 63009",+380 (96) 649-31-44,iaryna46@example.org
Тесля,Ліза,Симонівна,Жіноча,1960-12-08,Складальник,місто Городенка,"узвіз Верф’яний, буд. 173, Сєвєродонецьк, 43863",071 535 54 77,mykhailyna62@example.net
Тарасенко,Нестор,Климентович,Чоловіча,1985-05-21,Фольклорист,селище Донецьк,"шосе Олександра Невського 4-й, буд. 5 кв. 2, Саки , 02235",+380 36 227 03 00,snizhana61@example.com
Кармалюк,Ганна,Стефанівна,Жіноча,1968-11-28,Промисловець,село Погребище,"узвіз Госпітальний, буд. 7, Тульчин, 12254",821 62 34,taraskozak@example.com
Єщенко,Марта,Гордіївна,Жіноча,1958-06-05,Ботанік,селище Первомайськ,"парк 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Острог, 10430",+380 47 039 94 97,korpaniuksofiia@example.org
Джунь,Богуслав,Альбертович,Чоловіча,1977-11-10,Фізик,місто Татарбунари,"провулок Київське, буд. 3 кв. 1, Узин, 98539",849-63-18,viktoriia10@example.net
Конопленко,Петро,Ростиславович,Чоловіча,1957-05-04,Євнух,місто Яворів,"сквер Жолкова Бориса, буд. 13, Добромиль, 96970",+380 70 311 35 42,okolodub@example.net
Верховинець,Гаврило,Орестович,Чоловіча,2007-06-15,Хімік,хутір Дніпро ,"узвіз Тарутинська, буд. 3 кв. 648, Горлівка, 99316",+380 95 380 94 60,frants55@example.com
Ейбоженко,Лариса,Вадимівна,Жіноча,1952-10-07,Доцент,місто Надвірна,"вулиця Лютневий 1-й, буд. 2, Рогатин, 41985",+380 (62) 834-67-10,valentynalekseienko@example.org
Сірченко,Степан,Панасович,Чоловіча,1976-09-04,Кінокритик,село Волочиськ,"сквер Лїнія 1-ша, буд. 12, Очаків, 01271",+380 28 404 70 17,rkhomenko@example.org
Сагаль,Ліза,Стефанівна,Жіноча,1983-02-12,Ботанік,село Липовець,"набережна Костанді 3-й, буд. 276, Сквира, 93734",947-21-96,iakovenkoerika@example.com
Гаєвський,Герман,Захарович,Чоловіча,2003-06-28,Піаніст,місто Мена ,"площа Геранієва, буд. 162, Ізяслав, 56801",+380 53 332-18-40,bashpolchenkodemyd@example.com
Влох,Камілла,Володимирівна,Жіноча,1997-04-13,Бухгалтер,село Сєвєродонецьк,"парк Проектний 5-й, буд. 150 кв. 080, Южне, 98995",884-33-26,volodymyra80@example.com
Колодуб,Галина,Феофанівна,Жіноча,1950-01-29,Графік,село Інкерман,"проспект Аполона Скальковського, буд. 31, Конотоп, 96262",380-24-73,zandriievych@example.org
Носенко,Марта,Семенівна,Жіноча,2000-09-25,Дизайнер,хутір Корсунь-Шевченківський,"проспект Анни Ахматової, буд. 21 кв. 3, Іршава, 49863",+380 (93) 121-83-75,czabarnyi@example.com
Яценюк,Сніжана,Григоріївна,Жіноча,1997-03-10,Реабілітолог,місто Погребище,"проспект Наявний 4-й, буд. 42, Виноградів, 02132",041 319 26 33,nopanasenko@example.com
Журавель,Вʼячеслав,Романович,Чоловіча,2000-02-15,Юрист,місто Сорокине,"вулиця Світлий, буд. 0 кв. 098, Бунге , 44059",051 289 65 97,boryslav13@example.net
Олійник,Ярина,Тимофіївна,Жіноча,1996-08-01,Музикознавець,село Дергачі,"шосе Різовська, буд. 39, Дубно, 18311",069 101 66 08,fvasylashko@example.org
Дараган,Вікторія,Русланівна,Жіноча,1959-04-04,Актор,хутір Підгайці,"сквер Віри Інбер, буд. 98, Гірник , 05443",076 965-70-37,jsymonenko@example.net
Швачка,Альберт,Климентович,Чоловіча,1956-04-11,Фізик,хутір Трускавець,"проспект Ніжинська, буд. 1 кв. 94, Лохвиця, 90153",089 655 77 80,adamkozachenko@example.org
Яценюк,Дарина,Валентинівна,Жіноча,1967-04-03,Мінералог,селище Кам'янка-Дніпровська,"узвіз Аеропортівський 4-й, буд. 989 кв. 78, Токмак, 57557",+380 (14) 455-10-62,lizazhaivoron@example.net
Жадан,Едита,Адамівна,Жіноча,2002-12-11,Патологоанатом,селище Хрустальний,"провулок Свободи, буд. 678, Гребінка, 54314",+380 86 374-52-64,tkachspas@example.org
Шаповал,Роксолана,Бориславівна,Жіноча,1974-09-23,Журналіст,місто Тисмениця,"парк Нескучна, буд. 4, Торецьк, 72198",+380 (25) 946-62-35,teodorbabarychenko@example.net
Вовк,Лесь,Антонович,Чоловіча,1957-07-23,Драматург,селище Голубівка,"парк Успенська, буд. 5, Білицьке, 26913",319 55 41,panteleimonduplii@example.net
Овсієнко,Аніта,Соломонівна,Жіноча,2004-09-02,Професор,хутір Селидове,"набережна Академіка Векслера, буд. 2 кв. 82, Славутич, 19834",+380 (08) 189-09-07,vadymshutko@example.org
Швачко,Людмила,Мартинівна,Жіноча,2004-03-30,Програміст,хутір Попасна,"узвіз Докова, буд. 2, Хотин, 72082",+380 (30) 596-93-19,hskyba@example.org
Колодуб,Алевтин,Несторович,Чоловіча,1963-05-29,Шериф,місто Саки ,"вулиця Південна дорога, буд. 634, Снігурівка, 85353",+380 (67) 199-16-41,ydankevych@example.org
Мірошниченко,Василина,Геннадіївна,Жіноча,2000-12-30,Композитор,селище Селидове,"провулок Полуничний, буд. 2 кв. 180, Волноваха, 20184",+380 83 648-95-62,arkadii92@example.net
Іващенко,Євген,Амвросійович,Чоловіча,1972-01-26,Вчитель,село Родинське,"площа Польова, буд. 49, Чорнобиль, 61045",009 508-37-84,korolenkoorysia@example.net
Іщак,Станіслав,Леопольдович,Чоловіча,1986-06-08,Каскадер,селище Гола Пристань,"шосе Пироговський, буд. 7 кв. 01, Бровари, 62421",+380 (48) 746-71-49,tereza12@example.com
Ґжицький,Клавдія,Болеславівна,Жіноча,1941-01-06,Археолог,хутір Теплодар,"проспект Польська, буд. 94, Амвросіївка, 96328",098 420 88 30,babychenkodaryna@example.com
Литвиненко,Євген,Несторович,Чоловіча,1948-08-02,Фольклорист,хутір Українка ,"парк Дев’ята, буд. 453, Антрацит , 82657",164 50 30,lolifirenko@example.com
Онищенко,Стефан,Варфоломійович,Чоловіча,1976-06-01,Реставратор,селище Заліщики,"набережна Віри Холодної, буд. 6 кв. 5, Великі Мости, 16637",043 172 84 34,iaroslavavenhrynovych@example.org
Цимбалюк,Прохір,Зорянович,Чоловіча,1953-06-14,Кінокритик,село Моспине,"вулиця Проїзний 3-й, буд. 9, Ужгород, 82349",071 105 52 82,stusopanas@example.org
Луценко,Симон,Яковович,Чоловіча,1955-09-05,Гінеколог,місто Любомль,"шосе Композитора Глинки, буд. 128 кв. 9, Добропілля, 71405",690-96-86,iereskoerika@example.org
Терещенко,Марія,Едуардівна,Жіноча,1990-07-25,Візажист,село Таврійськ,"набережна Лінія 47-ма, буд. 3 кв. 474, Чоп, 23532",+380 15 699-83-79,amaliiachumak@example.org
Абраменко,Віолетта,Захарівна,Жіноча,2000-03-02,Різноробочий,хутір Зміїв,"сквер Суднобудівна, буд. 31, Миргород, 26932",+380 76 687-30-49,okhrimkolisnychenko@example.com
Дерегус,Христина,Єлисеївна,Жіноча,1971-05-22,Ґрунтознавець,село Ясинувата,"сквер 11-та Лінія Марії Демченко, буд. 122, Корюківка, 20597",079 304 31 42,makar42@example.com
Тесленко,Максим,Гордійович,Чоловіча,1947-03-12,Клавішник,село Бережани,"сквер Мацієвської, буд. 635 кв. 94, Бобринець, 20556",+380 84 655-76-73,terezabazylevych@example.org
Рак,Яків,Святославович,Чоловіча,1958-07-15,Кухар,село Щастя ,"площа Польова, буд. 156, Херсон, 55464",+380 74 878-07-98,oberemkooksana@example.net
Дашенко,Валентин,Альбертович,Чоловіча,2002-08-25,Мірошник,хутір Бердичів,"парк Віри Фігнер, буд. 83 кв. 86, Трускавець, 13159",700 74 06,teodorbashpolchenko@example.com
Сиротенко,Марта,Борисівна,Жіноча,2003-09-21,Гірничий інженер,хутір Березань ,"вулиця 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 941, Буринь, 42519",+380 94 169-18-25,ihnatdubyna@example.org
Данчук,Оксана,Тимофіївна,Жіноча,1989-03-11,Хімік,місто Радомишль,"набережна Мала, буд. 775, Вашківці, 36652",954 02 19,jviter@example.net
Ніколюк,Аліна,Симонівна,Жіноча,1981-01-20,Штукатур,хутір Прип'ять ,"набережна Суднобудівна, буд. 92 кв. 13, Сокаль, 88637",080 968-21-21,dan52@example.org
Проценко,Ірина,Степанівна,Жіноча,1994-12-16,Перекладач,село Попасна,"узвіз Кругова, буд. 11 кв. 3, Шостка, 98331",088 558-51-25,gsheremeta@example.com
Яремків,Болеслав,Вʼячеславович,Чоловіча,1940-02-02,Хореограф,село Борислав,"площа Морська, буд. 9, Зміїв, 63024",594 41 93,badamenko@example.org
Данчук,Тетяна,Болеславівна,Жіноча,1958-05-15,Пілот,селище Первомайськ,"площа Трудовий, буд. 89 кв. 4, Рожище, 14593",018 507 75 14,iaroslavoberemko@example.com
Бевзенко,Марія,Давидівна,Жіноча,1968-02-20,Історик,селище Жашків,"узвіз Лермонтовський, буд. 009, Тисмениця, 58562",001 069-58-25,shmorhunnazar@example.net
Артюх,Алла,Феофанівна,Жіноча,1981-07-26,Кінорежисер,місто Приморськ (Україна),"узвіз Вапняне селище, буд. 524, Миколаїв, 07912",363 46 27,wvasylenko@example.net
Щорс,Микита,Антонович,Чоловіча,1946-10-25,Диригент,село Болград,"узвіз Олександра Невського 2-й, буд. 255, Шахтарськ, 76682",+380 (01) 776-46-40,terezabandera@example.net
Чуприна,Оксана,Сергіївна,Жіноча,2006-12-10,Бібліограф,місто Білицьке,"площа Ланжеронівська, буд. 6, П'ятихатки, 23971",941 43 41,heorhii47@example.net
Самойленко,Яків,Микитович,Чоловіча,2005-12-15,Електрослюсар,місто Ізяслав,"сквер Сортувальна 1-ша, буд. 114, Стрий, 51682",099-15-16,leonidavramchuk@example.net
Худяк,Арсен,Ігорович,Чоловіча,1968-09-01,Гірник,місто Свалява,"провулок Лінія 25-та, буд. 080, Середина-Буда, 95736",+380 75 023 21 01,bohdanna54@example.com
Павлик,Єва,Георгіївна,Жіноча,1978-08-01,Електротехнік,селище Березне,"узвіз Таїрова, буд. 77, Золочів, 56984",018 914-15-76,piatachenkokostiantyn@example.org
Калениченко,Богуслава,Максимівна,Жіноча,1967-05-03,Реабілітолог,хутір Вугледар,"провулок Лазурний 2-й, буд. 742, Хотин, 79327",+380 84 570 08 55,ladamenko@example.net
Александренко,Леонід,Омелянович,Чоловіча,1965-01-30,Диригент,хутір Звенигородка,"набережна Академіка Ясиновського, буд. 78, Козятин, 19000",+380 24 878-07-28,ckolesnychenko@example.org
Акименко,Станіслав,Ааронович,Чоловіча,1969-03-11,Складальник,село Красноперекопськ,"набережна Героїв прикордонників, буд. 9 кв. 116, Соледар, 74033",060 686 21 63,leopoldshmorhun@example.com
Худобʼяк,Камілла,Захарівна,Жіноча,2006-01-21,Науковець,хутір Іршава,"шосе Малиновський, буд. 8, Залізне, 69304",+380 (41) 836-17-05,valentynafareniuk@example.org
Щербак,Прохір,Олександрович,Чоловіча,1960-03-28,Професор,хутір Сокаль,"сквер Трояндова, буд. 60 кв. 62, Валки , 44490",+380 93 710-73-00,kmakohon@example.com
Павлик,Варвара,Григоріївна,Жіноча,1970-09-16,Петрограф,село Славута,"сквер Східчастий 3-й, буд. 050, Горлівка, 58238",203 38 14,oles97@example.net
Журба,Олекса,Охрімович,Чоловіча,1971-04-02,Мінералог,село Тетіїв,"шосе Кропивницького, буд. 757, Верхньодніпровськ, 15819",+380 67 700-08-34,avhustyn39@example.com
Артюх,Віолетта,Леопольдівна,Жіноча,1947-04-15,Бібліотекар,місто Прип'ять ,"набережна Нафтовиків 3-й, буд. 40, Кам'янка-Бузька, 36440",+380 40 876-84-01,romaniakymchuk@example.com
Артим,Ярослава,Васильівна,Жіноча,1971-09-17,Мірошник,селище Боярка,"проспект Проїзний 2-й, буд. 8, Корець, 66092",377-42-10,hennadii72@example.org
Абрамчук,Климент,Трохимович,Чоловіча,1963-12-26,Диригент,село Хмельницький,"парк Шкіперська, буд. 4, Молодогвардійськ, 56302",526 13 30,arkadiizabila@example.com
Демиденко,Богуслава,Остапівна,Жіноча,1956-08-02,Стиліст,хутір Красноперекопськ,"парк Ковиловий, буд. 63, Заставна, 20696",+380 82 166-96-90,klyment79@example.com
Онищенко,Устим,Хомович,Чоловіча,1975-10-10,Гицель,селище Жмеринка,"парк Степова, буд. 26 кв. 54, Ровеньки, 90432",+380 (76) 410-60-11,dparasiuk@example.org
Твердохліб,Лілія,Миронівна,Жіноча,1984-04-11,Філолог,хутір Горлівка,"узвіз Івахненка Петра, буд. 1 кв. 6, Борщів, 63538",+380 82 004-28-19,sshapoval@example.net
Сіробаба,Тереза,Макарівна,Жіноча,2003-03-30,Біолог,місто Маріуполь,"провулок Лиманчик 2-й Лінія 4-та, буд. 377 кв. 878, Калуш, 80233",048 362-68-61,dupliiolha@example.org
Конопля,Мартин,Юстимович,Чоловіча,1985-01-25,Фрілансер,село Кременчук,"провулок Злакова, буд. 1, Ужгород, 12190",+380 22 155-31-57,allaandriichuk@example.net
Ковалюк,Костянтин,Віталійович,Чоловіча,1943-09-27,Мовознавець,село Куп'янськ,"провулок Дорожня, буд. 126 кв. 6, Бобровиця, 04584",+380 41 623-37-95,verkholatymofii@example.net
Шеремета,Спас,Іванович,Чоловіча,1947-12-18,Математик,місто Славутич,"площа Більшовицький, буд. 02, Нетішин, 45957",864-99-17,haidaburaazar@example.com
Оберемко,Віолетта,Святославівна,Жіноча,1944-08-15,Живописець,хутір Хирів,"парк Чорноморка, буд. 42, Боково-Хрустальне, 09956",017 567-35-26,iefrem70@example.org
Чарниш,Ігор,Валерійович,Чоловіча,2000-08-17,Доцент,місто Моршин,"сквер Івахненка Петра, буд. 299, Святогірськ, 44772",947-40-56,arkadiivasylechko@example.org
Єфименко,Андрій,Степанович,Чоловіча,2001-10-31,Медик,хутір Білогірськ,"сквер Лучиста, буд. 1, Саки , 16773",+380 (63) 446-99-81,bohdanna38@example.com
Кириленко,Володимира,Борисівна,Жіноча,1940-06-13,Прокурор,селище Черкаси,"сквер Заньковецької, буд. 2 кв. 708, Белз, 27549",515 01 83,nieremenko@example.net
Яремків,Аніта,Вʼячеславівна,Жіноча,1977-09-06,Науковець,селище Білогірськ,"сквер Обривиста, буд. 90, Сулимівка (Слов'янськ), 64775",+380 86 925-67-22,saienkofeofan@example.org
Бгиденко,Володимир,Святославович,Чоловіча,1984-01-04,Бібліотекар,село Лебедин,"шосе Лінія 48-ма, буд. 8, Виноградів, 97704",026 724 24 58,iustymgerega@example.org
Штепа,Устим,Устимович,Чоловіча,1949-07-12,Письменник,село Севастополь,"провулок Старорізнична, буд. 13, Васильків, 26891",113-84-88,omelian07@example.com
Рябець,Златослава,Євгенівна,Жіноча,1996-07-01,Доцент,село Вижниця,"сквер Санаторний, буд. 851 кв. 0, Немирів, 88258",052 351-90-91,violettabevzenko@example.org
Алексеєнко,Мирон,Мартинович,Чоловіча,2004-04-09,Промисловець,хутір Кобеляки,"шосе Отрадна, буд. 8, Чистякове, 91555",362 70 94,parmen70@example.org
Забіла,Михайло,Євгенійович,Чоловіча,2005-01-04,Локсмайстер,місто Каховка,"площа Деревообробний 2-й, буд. 4, Хрустальний, 77953",+380 (71) 913-85-45,zabramchuk@example.net
Вернидуб,Ірена,Прохорівна,Жіноча,1987-07-22,Геолог,селище Луцьк,"площа Тракторна, буд. 6, Новгород-Сіверський, 26788",+380 38 367 24 42,azabashta@example.net
Шиян,Августин,Гордійович,Чоловіча,2007-02-10,Графік,село Добромиль,"набережна Лінія 42-га, буд. 200 кв. 9, Боярка, 60721",087 864 50 24,orysia00@example.com
Данчук,Марко,Трохимович,Чоловіча,1950-08-06,Епідеміолог,село Соснівка ,"узвіз Героїв Небесної Сотні, буд. 291, Золоте, 63481",+380 17 849-01-50,lukian28@example.com
Байда,Віолетта,Ростиславівна,Жіноча,1973-03-30,Редактор,місто Монастирище,"провулок Кленова, буд. 7, Херсон, 26999",094 602 22 71,nokhrimenko@example.org
Сагаль,Алла,Максимівна,Жіноча,1962-09-11,Бібліограф,село Збараж,"узвіз 411-ї батареї, буд. 26 кв. 9, Хирів, 30634",+380 (16) 307-52-88,hkovaliuk@example.net
Журба,Орися,Богодарівна,Жіноча,1964-10-21,Паблік рилейшнз,хутір Алчевськ,"площа Заводська 2-га, буд. 083 кв. 184, Горішні Плавні, 97415",+380 38 412-48-04,leoniarosh@example.org
Базилевський,Наталія,Альбертівна,Жіноча,1941-09-17,Археолог,село Снігурівка,"шосе Чорноморський 8-й, буд. 556, Олександрія, 05117",186-22-72,martyn17@example.com
Корж,Роман,Теодорович,Чоловіча,1989-02-21,Музичний редактор,хутір Суходільськ,"вулиця Поїзна, буд. 593 кв. 2, Баранівка, 58355",+380 89 959-90-98,iaryna91@example.org
Матяш,Антон,Васильович,Чоловіча,1957-12-08,Клавішник,селище Турка,"сквер Агрономічний, буд. 665 кв. 2, Першотравенськ, 54864",+380 16 074-74-11,danna91@example.org
Давимука,Лесь,Миронович,Чоловіча,1976-03-19,Пекар,хутір Євпаторія,"парк 7-ма Лінія Дачі Ковалевського, буд. 69 кв. 779, Бровари, 65784",028 637 06 67,havrylo48@example.com
Андрієнко,Альбіна,Венедиктівна,Жіноча,1948-12-23,Журналіст,селище Здолбунів,"провулок 8-ма Суворовська, буд. 88 кв. 49, Вишгород, 36198",+380 58 428-73-84,marynaierchenko@example.org
Ящук,Захар,Геннадійович,Чоловіча,1942-08-29,Драматург,місто Тальне,"проспект Пересипська 10-та, буд. 88 кв. 6, Козятин, 21703",070 824 25 09,furskyrylo@example.com
Михайличенко,Руслан,Валентинович,Чоловіча,1957-07-20,Дантист,селище П'ятихатки,"шосе Чорноморського козацтва, буд. 393, Чорнобиль, 33687",093 315 26 28,liubovkyrylenko@example.net
Ґереґа,Маруся,Миколаївна,Жіноча,1987-10-16,Конструктор,місто Лутугине,"узвіз Кришталевий, буд. 23 кв. 836, Пустомити, 49347",083 318-69-00,iaremchukmykhailyna@example.com
Ейбоженко,Вадим,Вікторович,Чоловіча,1968-09-17,Електрослюсар,хутір Новий Буг,"вулиця Військовий узвіз, буд. 938 кв. 9, Харцизьк, 88564",+380 16 430 67 48,petro96@example.com
Микитюк,Наталія,Владиславівна,Жіноча,1949-03-26,Стропальник,село Нововолинськ,"парк Лінія 38-ма, буд. 26 кв. 05, Донецьк, 67424",+380 (51) 051-88-44,uskyrda@example.org
Рудик,Емілія,Веніяминівна,Жіноча,1978-11-01,Палеонтолог,місто Новий Буг,"сквер Толбухіна, буд. 756 кв. 07, Тараща, 12908",927 68 70,prytulapylyp@example.org
Венгринович,Семен,Панасович,Чоловіча,2004-09-03,Мірошник,місто Золоте,"набережна Восьмого березня узвіз, буд. 282, Богуслав, 93575",059 979 64 80,iemelianenkoihor@example.com
Юхименко,Мирослав,Єлисейович,Чоловіча,1948-03-13,Географ,селище Сулимівка (Слов'янськ),"набережна Літакова, буд. 345, Суми, 16819",413-50-41,iefrem68@example.org
Уманець,Азар,Глібович,Чоловіча,1999-01-14,Провізор,хутір Очаків,"узвіз Іцхака Рабіна, буд. 53, Заставна, 96482",013 811 05 96,violettachekaliuk@example.net
